Customer_ID,Full_Name,Email,City
101," Rahul Sharma ","RAHUL@Company.COM"," pune "
102,"PRIYA PATEL","PRIYA@Company.COM","MUMBAI"
103,"amit verma","amit@Company.COM"," bangalore "
104," Sneha Joshi ","Sneha@Company.COM","Delhi"
105,"rohan singh","ROHAN@Company.COM"," hyderabad "
106,"NEHA GUPTA","NEHA@Company.COM","PUNE"
107," Akash Patel ","AKASH@Company.COM","Mumbai"
108,"pooja shah","POOJA@Company.COM"," pune "
109,"VIKRAM RAO","VIKRAM@Company.COM","CHENNAI"
110," Divya Mehta ","DIVYA@Company.COM"," Ahmedabad "
